cat_id,cat action count,cat action count ratio,cat day count,cat 1111 action count,cat 1111 action count ratio,cat 1111 activity ratio,cat last week action count,cat last week action count ratio,cat last week activity ratio,last month action count,last month action count ratio,last month activity ratio,average age,average gender,month,day,cat_monthly_action_count,month_total_action_count,monthly_action_count_ratio,cat_male_count,cat_female_count,cat_unknown_gender_count,month_cat_male_count,month_cat_female_count,month_cat_unknown_gender_count,item_male_count_ratio,item_female_count_ratio,item_unknown_count_ratio,cat_buys,cat_buy_ratio,cat_male_buy_count,cat_female_buy_count,cat_unknown_buy_count,cat_male_buy_ratio,cat_female_buy_ratio,cat_unknown_buy_ratio,cat_ageGroup_1_counts,cat_ageGroup_2_counts,cat_ageGroup_3_counts,cat_ageGroup_4_counts,cat_ageGroup_5_counts,cat_ageGroup_6_counts,cat_ageGroup_7_counts,cat_ageGroup_8_counts,cat_ageGroup_0_counts
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,11,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,11,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,11,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,10,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,10,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
656,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111,11,10,36,362,0.09944751381215469,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8
1181,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857,11,7,104,362,0.287292817679558,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17
1181,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857,11,7,104,362,0.287292817679558,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17
1181,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857,11,7,104,362,0.287292817679558,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17
1181,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857,11,11,104,362,0.287292817679558,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17
1181,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857,11,11,104,362,0.287292817679558,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17
