user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender
149002,282,885,3791,1500.0,1111,0,5.0,2.0
149002,282,885,3791,1500.0,1107,0,5.0,2.0
109881,230,629,1,1662.0,820,0,4.0,0.0
109881,230,629,1,1662.0,820,0,4.0,0.0
109881,230,629,1,1662.0,820,0,4.0,0.0
142526,193,656,2781,6885.0,1111,0,6.0,0.0
123526,304,559,3989,3650.0,620,0,5.0,1.0
123526,304,559,3989,3650.0,620,0,5.0,1.0
123526,304,559,3989,3650.0,618,0,5.0,1.0
123526,304,559,3989,5270.0,618,2,5.0,1.0
359170,217,1326,3096,3080.0,1021,3,3.0,0.0
46520,257,1238,158,99.0,1111,0,4.0,0.0
346053,212,1566,1765,5192.0,930,0,5.0,0.0
355049,304,559,3989,5270.0,1017,2,5.0,0.0
355049,304,559,3989,3650.0,1017,0,5.0,0.0
355049,304,559,3989,3650.0,1017,0,5.0,0.0
47958,174,1467,4257,6742.0,522,0,4.0,1.0
50931,224,614,4955,7924.0,610,2,4.0,1.0
125098,304,559,3989,3650.0,710,0,4.0,1.0
365160,170,1095,3828,1446.0,722,0,4.0,0.0
365160,170,1095,3828,1446.0,705,0,4.0,0.0
339574,265,1100,3101,4533.0,1004,0,4.0,0.0
14747,279,898,3323,683.0,1111,0,6.0,1.0
14747,279,898,3323,683.0,609,0,6.0,1.0
14747,279,898,3323,683.0,609,0,6.0,1.0
14747,279,898,3323,683.0,1110,0,6.0,1.0
382864,304,559,3989,3650.0,820,0,5.0,1.0
375786,174,1467,4257,6742.0,1029,0,5.0,1.0
266494,309,611,3083,5717.0,1030,0,7.0,1.0
267067,210,683,1913,69.0,1105,0,4.0,0.0
143871,304,559,3989,3650.0,730,0,4.0,1.0
379824,198,656,145,3462.0,1111,0,5.0,1.0
379824,198,656,145,3462.0,1111,0,5.0,1.0
379824,198,656,145,3462.0,1111,2,5.0,1.0
379824,198,656,145,3462.0,1110,0,5.0,1.0
379824,198,656,145,3462.0,1110,0,5.0,1.0
379824,198,656,145,3462.0,1110,0,5.0,1.0
59889,304,559,3989,5270.0,1013,2,4.0,0.0
59889,304,559,3989,3650.0,1013,0,4.0,0.0
188455,294,1181,4798,4120.0,1103,0,5.0,1.0
248722,230,629,1,1662.0,617,0,3.0,1.0
97560,304,559,3989,3650.0,815,0,6.0,1.0
97560,304,559,3989,3650.0,814,0,6.0,1.0
104634,239,1620,834,5360.0,1111,0,4.0,1.0
104634,239,1620,834,5360.0,1111,0,4.0,1.0
7692,178,394,1641,5067.0,1111,2,4.0,0.0
