brand_id,month,day,brand_monthly_action_count,month_total_action_count,monthly_action_count_ratio,monthly_mean_action_type,brand_male_count,brand_female_count,brand_unknown_gender_count,month_brand_male_count,month_brand_female_count,month_brand_unknown_gender_count,brand_male_count_ratio,brand_female_count_ratio,brand_unknown_count_ratio,brand_monthly_male_count_ratio,brand_monthly_female_count_ratio,brand_monthly_unknown_count_ratio,brand_buys,brand_buy_ratio,brand_male_buy_count,brand_female_buy_count,brand_unknown_buy_count,brand_male_buy_ratio,brand_female_buy_ratio,brand_unknown_buy_ratio,brand_ageGroup_1_counts,brand_ageGroup_2_counts,brand_ageGroup_3_counts,brand_ageGroup_4_counts,brand_ageGroup_5_counts,brand_ageGroup_6_counts,brand_ageGroup_7_counts,brand_ageGroup_8_counts,brand_ageGroup_0_counts,brand action count,brand action count ratio,brand day count,brand 1111 action count,brand 1111 action count ratio,brand 1111 activity ratio,brand last week action count,brand last week action count ratio,brand last week activity ratio,last month action count,last month action count ratio,last month activity ratio,average age,average gender
3462.0,11,11,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
3462.0,11,11,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
3462.0,11,11,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
3462.0,11,10,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
3462.0,11,10,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
3462.0,11,10,36,362,0.09944751381215469,0.3611111111111111,9,25,2,9,25,2,0.25,0.6944444444444444,0.05555555555555555,0.25,0.6944444444444444,0.05555555555555555,5,0.1388888888888889,1.0,4.0,0.0,0.2,0.8,0.0,0,2,1,10,7,8,0,0,8,36,0.09350649350649351,4,30,0.13157894736842105,0.8333333333333334,36,0.10140845070422536,1.0,36,0.09836065573770492,1.0,3.611111111111111,0.3611111111111111
247.0,11,7,104,362,0.287292817679558,0.3557692307692308,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,0.6826923076923077,0.3173076923076923,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857
247.0,11,7,104,362,0.287292817679558,0.3557692307692308,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,0.6826923076923077,0.3173076923076923,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857
247.0,11,7,104,362,0.287292817679558,0.3557692307692308,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,0.6826923076923077,0.3173076923076923,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857
247.0,11,11,104,362,0.287292817679558,0.3557692307692308,72,33,0,71,33,0,0.6857142857142857,0.3142857142857143,0.0,0.6826923076923077,0.3173076923076923,0.0,14,0.13333333333333333,8.0,6.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0,25,24,35,1,3,0,0,17,105,0.2727272727272727,9,67,0.29385964912280704,0.638095238095238,101,0.28450704225352114,0.9619047619047619,105,0.28688524590163933,1.0,2.7142857142857144,0.6857142857142857
